SKL序号,王名字,楔形文字 / 转写 / 意义,S2名字得分,S2名字得分理由,历史王号,S2王号得分,王号得分理由,核心事迹,S2事迹得分,S2事迹得分理由
121,Utu-hengal,𒀭𒌓𒃶𒅅 (Utu-he2-gal2) / 太阳神+丰饶,0.5,HE2-GAL2 (丰饶) 物理语义常指大水带来的灌溉，间接对应“水/亥”。,𒈗,0.01,行政底噪。,驱逐古提人，恢复苏美尔主权。,1,资产确权，终结异邦夺产乱局，物理对撞王亥“服牛”奠基逻辑。
122,Ur-Nammu,𒌨𒀭𒇉 (Ur-dNammu) / 猛兽+原始水女神,1,UR (兽) + NAMMU (水)，兽名与水名双重坍缩，100% 物理对应“亥/水”。,𒈗,0.01,底噪。,建立乌尔三王朝，颁布法典，统一量度。,1,契约与贸易标准化，物理对撞“商始祖”建立商业秩序的职能。
123,Shulgi,𒂄𒄀 (Šul-gi) / 强力/猛兽+正统,1,ŠUL (𒂄) 物理拓扑为“强健的幼兽/壮丁”，对撞“亥”之兽性活力。,𒈗,0.01,底噪。,建立庞大的国家牲畜配给系统（Puzrish-Dagan）。,1,终极牧主职能，物理对撞王亥“统领九牛”的资产规模。
124,Amar-Suen,𒀭𒀫𒀭𒍪 (Amar-dSuen) / 幼牛+月神,1,AMAR (幼牛/兽) + Suen (月/水)，绝对物理对撞“亥”之“豕/牛”与北方水位。,𒈗,0.01,底噪。,统治 9 年。,0.5,兽名/水名王，维持高频 S2 信号。
125,Shu-Suen,𒀭𒋗𒀭𒍪 (dŠu-dSuen) / 月神之手,0.5,Suen (月神) 具潮汐/水属性，物理坍缩甲骨文“亥/水”。,𒈗,0.01,底噪。,修筑“抵御阿摩利人”的长墙。,1,异邦博弈/资产防御，对应王亥在异乡（有易）的生存压力。
126,Ibbi-Suen,𒀭𒄿𒉈𒀭𒍪 (dI-bi2-dSuen) / 月神所唤,0.5,Suen (月神) 信号存在，锁定北方水。,𒈗,0.01,底噪。,乌尔三王朝终结，被埃兰人俘虏至异乡。,1,终极失权/丧身异邦，物理坍缩王亥“丧其牛羊/客死异乡”的悲剧终点。
127,Ishbi-Erra,𒅖𒁉𒅕𒊏 (Iš-bi-Er-ra) / 瘟疫/战神之名,0.5,Erra 为荒野与猛兽之神，具备 S2 兽性负面能量。,𒈗,0.01,底噪。,建立伊辛(Isin)王朝，利用饥荒夺取权力。,1,乱局夺产/权力易位，物理对应商代文明的权力重组。
128,Shu-ilishu,𒋗𒄿𒉌𒋗 (Šu-i-li2-šu) / 回归神灵,0.01,纯音译底噪。,𒈗,0.01,底噪。,从埃兰夺回被掠夺的神像。,1,资产追讨，对应“丧其牛羊”后的资源回流逻辑。
129,Iddin-Dagan,𒀭𒄿𒁷𒀭𒁕𒃶 (I-din-dDa-gan) / 达甘神之赐,0.01,达甘为丰产神，物理对应弱。,𒈗,0.01,底噪。,统治 21 年。,0.01,守成期底噪。
130,Ishme-Dagan,𒅖𒈨𒀭𒁕𒃶 (Iš-me-dDa-gan) / 达甘神听从,0.01,底噪。,𒈗,0.01,底噪。,统治 20 年，法典编纂。,0.5,契约逻辑延续。
131,Lipit-Ishtar,𒇷𒁉𒀉𒀭𒈹 (Li-pi2-it-Eštar) / 女神之触,0.01,底噪。,𒈗,0.01,底噪。,颁布法典。,0.5,社会秩序/资产分配。
132,Ur-Ninurta,𒌨𒀭𒊩𒌆𒅁 (Ur-dNin-urta) / 猛兽+战神/农神,1,UR (𒌨) 为兽，绝对物理指纹，对撞“亥”字兽部。,𒈗,0.01,底噪。,WB 444 母表终结点，伊辛王朝中期。,1,兽名终结/回归高祖，物理坍缩“亥”之原始图腾。
